model_size,representation,architecture,stage,parameters,final_train_action_mse_normalized,final_validation_action_mse_normalized,test_decoded_normalized_mse,test_decoded_physical_mse,test_decoded_physical_mae,test_decoded_physical_rmse,test_joint_physical_mse,test_gripper_physical_mse,encoded_control_mse,token_accuracy,boundary_physical_mse,velocity_p95_physical_per_s,acceleration_p95_physical_per_s2,sampling_p50_ms,sampling_p95_ms,sampling_p99_ms,online_vision_p50_ms,projector_state_p50_ms,action_decode_p50_ms,estimated_online_pipeline_p50_ms,peak_memory_bytes,delay_mean_physical_mse_d0_d10,delay_d10_physical_mse,checkpoint_sha256,checkpoint,wandb_url,joint_legacy_cached_p50_ms,joint_fused_cache_speedup_percent,joint_legacy_vs_fused_tokens_equal,joint_legacy_vs_fused_max_token_difference
DiT-S,raw,fm,base,15072903,0.0010298327542841434,0.023626778711332008,0.03677983582019806,0.011016178876161575,0.04370128735899925,0.10495798289775848,0.004878930010211964,0.047839678823947906,0.03677983582019806,,0.0011986616300418973,0.7124758958816526,11.41829376220703,15.658471500501037,15.748778195120394,17.336677417624745,10.707500041462481,0.12301804963499308,0.0036400742828845978,26.492629665881395,3050713088,0.006606104868379506,0.006975977681577206,c045b0d086480ff3da1881c87c44a2b67ecf26f96957b922e6aa8bd71d45bd4c,/scratch/wangpc/B-Spline-Inpainting/robot_policy/outputs/SWEEP/dit_s/raw/checkpoints/fm_base.pt,https://wandb.ai/401910710-university-of-california-berkeley/robot-policy-50k-bs32-basic/runs/i9p5hb9y,,,,
DiT-S,raw,fm,ttrtc,15072903,0.0007300518918782473,0.026450319732248317,0.037081800401210785,0.011147547513246536,0.04493538662791252,0.10558194667100906,0.0050145814117665095,0.04794535040855408,0.037081800401210785,,0.0014761118218302727,0.7118564844131461,11.020349264144883,16.05864556040615,16.359897423535585,17.78123510070146,10.718666948378086,0.12319302186369896,0.003569992259144783,26.90407552290708,3050713088,0.005966518116606908,0.006270142272114754,360e5814cf8c0590cc5036e67f02447ed921dcdea044c972e05f9982c49c0483,/scratch/wangpc/B-Spline-Inpainting/robot_policy/outputs/SWEEP/dit_s/raw/checkpoints/fm_ttrtc.pt,https://wandb.ai/401910710-university-of-california-berkeley/robot-policy-5k-bs32-ttRTC/runs/v9ubgo5v,,,,
DiT-S,raw,discrete_layerwise,base,15035136,0.0023149680346250534,0.005560047861763451,0.045635949820280075,0.014107227325439453,0.05580909177660942,0.11877384781837463,0.00816601274224619,0.049754511564970016,0.045635949820280075,0.20115158691462934,0.003270342480391264,0.7487618923187256,21.309720993041992,12.899274937808514,13.508403394371271,14.112309832125902,10.703028878197074,0.12288743164390326,0.0034798868000507355,23.72867113444954,3050438656,0.013317812234163284,0.01917867362499237,eff9e989fe18cf912e789dbd64e8d6068efc1e5bdafc13e9abfce8aa1bb6ac3b,/scratch/wangpc/B-Spline-Inpainting/robot_policy/outputs/SWEEP/dit_s/raw/checkpoints/discrete_layerwise_base.pt,https://wandb.ai/401910710-university-of-california-berkeley/robot-policy-50k-bs32-basic/runs/zh84gs3w,,,,
DiT-S,raw,discrete_layerwise,ttrtc,15035136,0.00025027745869010687,0.006239814118089271,0.050463881343603134,0.016064951196312904,0.061426855623722076,0.12674759328365326,0.01013249799143523,0.05165966600179672,0.05046388879418373,0.19796924458065365,0.005716970190405846,0.7487618923187256,22.46285629272461,12.30988185852766,12.768020061776042,13.186235942412177,10.69958449807018,0.11684803757816553,0.003590015694499016,23.129904409870505,3050438656,0.020572227087210525,0.02966163493692875,f5fc888db8ba3fa2efdafc6f9b25410ea9ac28e759427289be508152c05dbfc1,/scratch/wangpc/B-Spline-Inpainting/robot_policy/outputs/SWEEP/dit_s/raw/checkpoints/discrete_layerwise_ttrtc.pt,https://wandb.ai/401910710-university-of-california-berkeley/robot-policy-5k-bs32-ttRTC/runs/2o2kthwz,,,,
DiT-S,raw,discrete_joint,base,13850496,0.0007437773165293038,0.012555373410577886,0.061009038239717484,0.018486645072698593,0.06454826891422272,0.13596560060977936,0.009172960339734951,0.07436877489089966,0.061009038239717484,0.18473837771741233,0.0026511678006500006,0.7487618923187256,14.975309371948242,146.18331752717495,146.6228256584145,146.66546142892912,10.733593488112092,0.11592893861234188,0.0033299438655376434,157.03616989776492,3046003200,0.011681676164946773,0.017489323392510414,3e561c7fb2af01f0c437259db382bb5afccdf54d15c97baf7519e833e0eef8ce,/scratch/wangpc/B-Spline-Inpainting/robot_policy/outputs/SWEEP/dit_s/raw/checkpoints/discrete_joint_base.pt,https://wandb.ai/401910710-university-of-california-berkeley/robot-policy-50k-bs32-basic/runs/ykwmgupy,167.0257159275934,12.47855654122971,True,0
DiT-S,raw,discrete_joint,ttrtc,13850496,1.4295053915702738e-05,0.0069909944431856275,0.06587809324264526,0.019838731735944748,0.06676480919122696,0.1408500373363495,0.009164719221492609,0.08388280123472214,0.06587809324264526,0.18018620417450257,0.004006627947092056,0.7487654685974121,14.975309371948242,144.5349515415728,144.8819504585117,145.07120300317183,10.720558115281165,0.1153239281848073,0.0033299438655376434,155.37416352890432,3046003200,0.012397341599518602,0.015695640817284584,b49affff04576f229f27d2b2072610f1636765a90c06fa45c2288b95894f21e2,/scratch/wangpc/B-Spline-Inpainting/robot_policy/outputs/SWEEP/dit_s/raw/checkpoints/discrete_joint_ttrtc.pt,https://wandb.ai/401910710-university-of-california-berkeley/robot-policy-5k-bs32-ttRTC/runs/dgxz1ipu,156.66328743100166,7.741657977635934,True,0
DiT-S,bspline,fm,base,15068295,0.0006067486829124391,0.033935820902115665,0.03621925413608551,0.010892652906477451,0.04432760551571846,0.10436787456274033,0.0051844913978129625,0.04514161869883537,0.0375373438000679,,0.0012663903180509806,0.7139664888381949,3.4311881303787226,15.041254460811615,15.147198433987796,15.37839866941795,10.700282990001142,0.1192030031234026,0.019480008631944656,25.880220462568104,3050697216,0.007625351151959462,0.007603362202644348,fd56a07b4c41b54eff0ae946d3dfef316773a2ff00ee50672ad2ba52ed377cf6,/scratch/wangpc/B-Spline-Inpainting/robot_policy/outputs/SWEEP/dit_s/bspline/checkpoints/fm_base.pt,https://wandb.ai/401910710-university-of-california-berkeley/robot-policy-50k-bs32-basic/runs/2rb15m2t,,,,
DiT-S,bspline,fm,ttrtc,15068295,0.0009720256784930825,0.035655100364238024,0.038059137761592865,0.011581772938370705,0.049647003412246704,0.10761864483356476,0.005758167942985892,0.04652339220046997,0.039323590695858,,0.0018774466589093208,0.704668164253234,4.813047051429746,15.628440422005951,16.58150932053104,16.918588033877317,10.721203521825373,0.1218330580741167,0.020449399016797543,26.49192640092224,3050697216,0.008089848921041597,0.008069551549851894,0cdc64d690ecdec7ecda6263b49dab98484d7eebe978c411790c3a30339417b3,/scratch/wangpc/B-Spline-Inpainting/robot_policy/outputs/SWEEP/dit_s/bspline/checkpoints/fm_ttrtc.pt,https://wandb.ai/401910710-university-of-california-berkeley/robot-policy-5k-bs32-ttRTC/runs/83pdq57s,,,,
DiT-S,bspline,discrete_layerwise,base,15002880,0.00031072075944393873,0.0029131562152997503,0.08652172982692719,0.029382649809122086,0.08915010839700699,0.17141367495059967,0.01928631813886265,0.08996063470840454,0.0811271071434021,0.14854432469059298,0.00243156380020082,1.1016095280647278,17.875905990600586,12.013106024824083,12.828332302160561,13.389738509431494,10.707375477068126,0.119037926197052,0.01940992660820484,22.858929354697466,3050312192,0.024686782705512913,0.027811486274003983,ff761f1243a9b7f211536738ed32201b0a9c02b98e2af2926adf0bfa64272079,/scratch/wangpc/B-Spline-Inpainting/robot_policy/outputs/SWEEP/dit_s/bspline/checkpoints/discrete_layerwise_base.pt,https://wandb.ai/401910710-university-of-california-berkeley/robot-policy-50k-bs32-basic/runs/ya0xdf4n,,,,
DiT-S,bspline,discrete_layerwise,ttrtc,15002880,0.002041323110461235,0.0037665325953639694,0.09376800805330276,0.033487897366285324,0.09840013831853867,0.1829969882965088,0.02438532157490651,0.08810338377952576,0.08767576515674591,0.13860333933711322,0.009450566954910755,1.2634625673294033,23.3359432220459,12.5522370217368,12.89340250659734,15.49248916096986,10.69770089816302,0.12247299309819937,0.020284554921090603,23.39269546791911,3050312192,0.03009546751325781,0.033602118492126465,7b6879fe5c630c3516c33387adafbf210c1b983b9927fb071a35bd5bdf4eb504,/scratch/wangpc/B-Spline-Inpainting/robot_policy/outputs/SWEEP/dit_s/bspline/checkpoints/discrete_layerwise_ttrtc.pt,https://wandb.ai/401910710-university-of-california-berkeley/robot-policy-5k-bs32-ttRTC/runs/q28aplkd,,,,
