comparison,model_size,architecture,stage,representation,physical_mse_reduction_percent,normalized_mse_reduction_percent,sampling_latency_reduction_percent,delay_mean_mse_reduction_percent
bspline_vs_raw,DiT-S,fm,base,bspline,1.1213141241871774,1.524154938736021,3.941745142044497,-15.428854126410194
bspline_vs_raw,DiT-S,fm,ttrtc,bspline,-3.895255208449948,-2.635625427588916,2.678962785385223,-35.58743580321523
bspline_vs_raw,DiT-S,discrete_layerwise,base,bspline,-108.2808274885922,-89.59116698054996,6.869912590102402,-85.36665235589955
bspline_vs_raw,DiT-S,discrete_layerwise,ttrtc,bspline,-108.45315343361386,-85.81212058352487,-1.9687854521629626,-46.29173295470646
bspline_vs_raw,DiT-S,discrete_joint,base,bspline,14.540236104150534,16.064247219070612,46.316510805447564,1.249595694184657
bspline_vs_raw,DiT-S,discrete_joint,ttrtc,bspline,6.761805972450243,8.139061851108934,44.759260266665315,-5.909421641718424
bspline_vs_raw,DiT-B,fm,base,bspline,-4.5946921555309705,-4.734143738384683,-4.7034271418696,12.327996891699904
bspline_vs_raw,DiT-B,fm,ttrtc,bspline,-9.715571006429073,-7.305067438627742,-4.8231828996457615,5.880440847174121
bspline_vs_raw,DiT-B,discrete_layerwise,base,bspline,10.006732628384347,14.030626129048954,11.420477574319506,17.767853639839092
bspline_vs_raw,DiT-B,discrete_layerwise,ttrtc,bspline,10.002850655559216,14.029156765190896,13.203087242301601,17.76752205944804
bspline_vs_raw,DiT-B,discrete_joint,base,bspline,75.61221317840867,65.45614566694735,44.7424703206704,85.58534932286507
bspline_vs_raw,DiT-B,discrete_joint,ttrtc,bspline,72.0440416080862,74.03340150351121,43.648236995753614,81.27184868014415
bspline_vs_raw,DiT-L,fm,base,bspline,7.746212859483064,9.363945943896615,3.8342897298880145,-8.234504697418128
bspline_vs_raw,DiT-L,fm,ttrtc,bspline,-2.2413441881262073,2.054787457081282,3.9226669521248736,-12.369233042676685
bspline_vs_raw,DiT-L,discrete_layerwise,base,bspline,-1110.3722920062683,-663.722242812962,27.12817738514759,-2254.051735964766
bspline_vs_raw,DiT-L,discrete_layerwise,ttrtc,bspline,-1121.8236311420312,-656.516485410766,26.588279380011684,-1802.4975438607075
bspline_vs_raw,DiT-L,discrete_joint,base,bspline,13.668019843530129,13.350725235704891,41.905165854187985,26.486046423755162
bspline_vs_raw,DiT-L,discrete_joint,ttrtc,bspline,31.269147477928733,32.88899533010631,41.88198723303828,18.610497488066272
ttrtc_vs_base,DiT-S,fm,ttrtc,raw,-1.1925063904802389,-0.8210057883045214,-2.555639354021924,9.681752931807312
ttrtc_vs_base,DiT-S,discrete_layerwise,ttrtc,raw,-13.877453206861585,-10.57922874912441,4.569195416971138,-54.471520738503735
ttrtc_vs_base,DiT-S,discrete_joint,ttrtc,raw,-7.313856342938831,-7.980874872664322,1.1276019818716423,-6.1263933742601715
ttrtc_vs_base,DiT-S,fm,ttrtc,bspline,-6.326466452295194,-5.079849570050271,-3.903836363676892,-6.09149349092959
ttrtc_vs_base,DiT-S,discrete_layerwise,ttrtc,bspline,-13.971672343481869,-8.375096338076682,-4.487856810708642,-21.90923326163947
ttrtc_vs_base,DiT-S,discrete_joint,ttrtc,bspline,-17.081415901658982,-18.17639253000968,-1.7404883266108948,-13.82014101310864
ttrtc_vs_base,DiT-B,fm,ttrtc,raw,-1.6030424116498143,0.23080218980020312,0.11979514361060646,0.5530265196064793
ttrtc_vs_base,DiT-B,discrete_layerwise,ttrtc,raw,0.004313439762711982,0.0017091420797689337,-0.26000365713100954,0.0004032231538615308
ttrtc_vs_base,DiT-B,discrete_joint,ttrtc,raw,19.6395385844172,-31.135995306043622,1.4951738967845085,15.133278383105905
ttrtc_vs_base,DiT-B,fm,ttrtc,bspline,-6.577452301389206,-2.218246287124277,0.005556002200190753,-6.760481923690438
ttrtc_vs_base,DiT-B,discrete_layerwise,ttrtc,bspline,0.0,0.0,1.7576686777032007,0.0
ttrtc_vs_base,DiT-B,discrete_joint,ttrtc,bspline,7.882017662214576,1.4251361264191191,-0.4554609580992075,-10.262596025475348
ttrtc_vs_base,DiT-L,fm,ttrtc,raw,-1.6440134361023322,-0.7209938711418082,0.04655872200412332,-6.0562548243028775
ttrtc_vs_base,DiT-L,discrete_layerwise,ttrtc,raw,0.9372333980035541,-0.9524917885012688,0.6776968666146076,-23.73481077866344
ttrtc_vs_base,DiT-L,discrete_joint,ttrtc,raw,-30.821008681185383,-36.09593191772561,-0.24032413721279947,-4.768471286917345
ttrtc_vs_base,DiT-L,fm,ttrtc,bspline,-12.64817287721844,-8.84343162309905,0.13841690584483224,-10.107770597760933
ttrtc_vs_base,DiT-L,discrete_layerwise,ttrtc,bspline,0.0,0.0,-0.05816936264983121,0.0
ttrtc_vs_base,DiT-L,discrete_joint,ttrtc,bspline,-4.149579775175852,-5.408091958406107,-0.28031792549470214,-15.992316317666148
